,,,"Alcohol, recorded per capita (15+) consumption (in litres of pure alcohol)"
"Kiribati","Data source","All types","0.36"
"Kiribati","Data source","Beer","0.36"
"Kiribati","Data source","Wine","0.01"
"Kiribati","Data source","Spirits","0"
"Kiribati","Data source","Other alcoholic beverages","0"
"Kuwait","Data source","All types","0.01"
"Kuwait","Data source","Beer","0"
"Kuwait","Data source","Wine","0.00"
"Kuwait","Data source","Spirits","0.01"
"Kuwait","Data source","Other alcoholic beverages","0.00"
"Kyrgyzstan","Data source","All types","3.88"
"Kyrgyzstan","Data source","Beer","0.52"
"Kyrgyzstan","Data source","Wine","0.08"
"Kyrgyzstan","Data source","Spirits","3.28"
"Kyrgyzstan","Data source","Other alcoholic beverages","0.00"
"Lao People's Democratic Republic","Data source","All types","7.26"
"Lao People's Democratic Republic","Data source","Beer","3.85"
"Lao People's Democratic Republic","Data source","Wine","0.02"
"Lao People's Democratic Republic","Data source","Spirits","3.39"
"Lao People's Democratic Republic","Data source","Other alcoholic beverages","0"
"Latvia","Data source","All types","12.60"
"Latvia","Data source","Beer","5.30"
"Latvia","Data source","Wine","1.40"
"Latvia","Data source","Spirits","5.10"
"Latvia","Data source","Other alcoholic beverages","0.80"
"Lebanon","Data source","All types","1.33"
"Lebanon","Data source","Beer","0.44"
"Lebanon","Data source","Wine","0.24"
"Lebanon","Data source","Spirits","0.63"
"Lebanon","Data source","Other alcoholic beverages","0.02"
"Lesotho","Data source","All types","2.82"
"Lesotho","Data source","Beer","1.62"
"Lesotho","Data source","Wine","0.09"
"Lesotho","Data source","Spirits","0.30"
"Lesotho","Data source","Other alcoholic beverages","0.81"
"Liberia","Data source","All types","3.55"
"Liberia","Data source","Beer","0.37"
"Liberia","Data source","Wine","0.05"
"Liberia","Data source","Spirits","3.11"
"Liberia","Data source","Other alcoholic beverages","0.02"
"Libya","Data source","All types","0.01"
"Libya","Data source","Beer","0.00"
"Libya","Data source","Wine","0.01"
"Libya","Data source","Spirits","0.00"
"Libya","Data source","Other alcoholic beverages","0"
"Lithuania","Data source","All types","11.49"
"Lithuania","Data source","Beer","4.47"
"Lithuania","Data source","Wine","0.80"
"Lithuania","Data source","Spirits","4.75"
"Lithuania","Data source","Other alcoholic beverages","1.46"
"Luxembourg","Data source","All types","10.94"
"Luxembourg","Data source","Beer","4.03"
"Luxembourg","Data source","Wine","4.70"
"Luxembourg","Data source","Spirits","2.21"
"Luxembourg","Data source","Other alcoholic beverages","0"
"Madagascar","Data source","All types","0.91"
"Madagascar","Data source","Beer","0.50"
"Madagascar","Data source","Wine","0.07"
"Madagascar","Data source","Spirits","0.34"
"Madagascar","Data source","Other alcoholic beverages","0.00"
"Malawi","Data source","All types","2.00"
"Malawi","Data source","Beer","0.17"
"Malawi","Data source","Wine","0.02"
"Malawi","Data source","Spirits","0.19"
"Malawi","Data source","Other alcoholic beverages","1.61"
"Malaysia","Data source","All types","0.58"
"Malaysia","Data source","Beer","0.43"
"Malaysia","Data source","Wine","0.04"
"Malaysia","Data source","Spirits","0.10"
"Malaysia","Data source","Other alcoholic beverages","0.01"
"Maldives","Data source","All types","1.11"
"Maldives","Data source","Beer","0.33"
"Maldives","Data source","Wine","0.44"
"Maldives","Data source","Spirits","0.34"
"Maldives","Data source","Other alcoholic beverages","0"
"Mali","Data source","All types","0.59"
"Mali","Data source","Beer","0.10"
"Mali","Data source","Wine","0.01"
"Mali","Data source","Spirits","0"
"Mali","Data source","Other alcoholic beverages","0.48"
"Malta","Data source","All types","7.87"
"Malta","Data source","Beer","2.83"
"Malta","Data source","Wine","2.33"
"Malta","Data source","Spirits","2.31"
"Malta","Data source","Other alcoholic beverages","0.40"
"Mauritania","Data source","All types","0.00"
"Mauritania","Data source","Beer","0"
"Mauritania","Data source","Wine","0.00"
"Mauritania","Data source","Spirits","0"
"Mauritania","Data source","Other alcoholic beverages","0"
"Mauritius","Data source","All types","3.09"
"Mauritius","Data source","Beer","1.88"
"Mauritius","Data source","Wine","0.39"
"Mauritius","Data source","Spirits","0.79"
"Mauritius","Data source","Other alcoholic beverages","0.03"
"Mexico","Data source","All types","4.25"
"Mexico","Data source","Beer","3.72"
"Mexico","Data source","Wine","0.19"
"Mexico","Data source","Spirits","0.19"
"Mexico","Data source","Other alcoholic beverages","0.15"
"Micronesia (Federated States of)","Data source","All types","1.59"
"Micronesia (Federated States of)","Data source","Beer","0.92"
"Micronesia (Federated States of)","Data source","Wine","0.13"
"Micronesia (Federated States of)","Data source","Spirits","0.52"
"Micronesia (Federated States of)","Data source","Other alcoholic beverages","0.01"
"Mongolia","Data source","All types","5.77"
"Mongolia","Data source","Beer","2.25"
"Mongolia","Data source","Wine","1.59"
"Mongolia","Data source","Spirits","1.93"
"Mongolia","Data source","Other alcoholic beverages","0"
"Montenegro","Data source","All types","9.29"
"Montenegro","Data source","Beer","3.45"
"Montenegro","Data source","Wine","2.56"
"Montenegro","Data source","Spirits","3.15"
"Montenegro","Data source","Other alcoholic beverages","0.13"
"Morocco","Data source","All types","0.43"
"Morocco","Data source","Beer","0.17"
"Morocco","Data source","Wine","0.18"
"Morocco","Data source","Spirits","0.08"
"Morocco","Data source","Other alcoholic beverages","0"
"Mozambique","Data source","All types","1.24"
"Mozambique","Data source","Beer","1.00"
"Mozambique","Data source","Wine","0.03"
"Mozambique","Data source","Spirits","0.21"
"Mozambique","Data source","Other alcoholic beverages","0.01"
"Myanmar","Data source","All types","1.78"
"Myanmar","Data source","Beer","0.45"
"Myanmar","Data source","Wine","0.00"
"Myanmar","Data source","Spirits","1.33"
"Myanmar","Data source","Other alcoholic beverages","0.00"
"Namibia","Data source","All types","4.30"
"Namibia","Data source","Beer","1.30"
"Namibia","Data source","Wine","2.05"
"Namibia","Data source","Spirits","0.57"
"Namibia","Data source","Other alcoholic beverages","0.37"
"Nauru","Data source","All types","2.17"
"Nauru","Data source","Beer","0.48"
"Nauru","Data source","Wine","0.08"
"Nauru","Data source","Spirits","1.61"
"Nauru","Data source","Other alcoholic beverages","0"
"Nepal","Data source","All types","0.32"
"Nepal","Data source","Beer","0.22"
"Nepal","Data source","Wine","0.00"
"Nepal","Data source","Spirits","0.10"
